Cell_type,Genes
cTNI06 (CD4+ TFH),"['RPS27', 'RPLP1', 'CD3D', 'TRBC2', 'RPS15A', 'RPS3A', 'SRGN', 'EEF1A1', 'RPL34', 'RPS27A', 'RPL30', 'RPL11', 'FYB1', 'RPS25', 'RPS29', 'RPL9', 'RPL19', 'RPS8', 'PTPRC', 'EEF1D', 'RPL32', 'CD2', 'RPL15', 'RPL13', 'BTG1', 'RPL6', 'RPS13', 'RPS4X', 'TMSB4X', 'RPL3', 'RPL22', 'FAU', 'RPL35A', 'KLRB1', 'CD3E', 'RPL41', 'RPL37', 'RPL21', 'RPS28', 'UBA52', 'RPS23', 'ITM2A', 'RPL28', 'RPL10', 'PFDN5', 'RPS14', 'CD52', 'RPL23A', 'RPL26', 'LTB', 'RPL24', 'RPS6', 'RPS3', 'TOMM7', 'MALAT1', 'TIGIT', 'B2M', 'RPL13A', 'GMFG', 'C9orf16', 'ARHGDIB', 'FKBP5', 'RPL5', 'NR3C1', 'RPS7', 'RPL4', 'RPLP2', 'CXCR4', 'HLA-A', 'RPS12', 'COTL1', 'RPL27', 'RPS16', 'CD27', 'IL32', 'RPL18', 'RPL39', 'CD3G', 'EVL', 'TRAC', 'LAT', 'COMMD6', 'GIMAP7', 'RPS15', 'CD37', 'RPL14', 'RPL10A', 'ICA1', 'RPL27A', 'RAC2', 'EEF1B2', 'RPS9', 'RPL18A', 'LCK', 'FYN', 'SPOCK2', 'RPL29', 'RPS10', 'NACA', 'SEPT6', 'RPL36', 'RPS18', 'IL6ST', 'RPL7A', 'CORO1B', 'PASK', 'RPL7', 'RPL12', 'RPL8', 'HINT1', 'DRAIC', 'RACK1', 'COX7C', 'RPS24', 'LIMS1', 'SMCO4', 'RPS11', 'C20orf100', 'TBC1D4', 'RP5-1028K7.2', 'MAF', 'RPL37A', 'TCF7', 'RPS2', 'SESN1', 'RPL23', 'EIF3E', 'RPS21', 'PPP1CC', 'RPS5', 'RPL38', 'H2AFZ', 'RNF19A', 'TMEM243', 'PDCD1', 'CD84', 'CHI3L2', 'BTF3', 'CXCL13', 'PPP2R5C', 'IKZF3', 'ATP5G2', 'EIF3F']"
cTNI07 (CD4+ CXCL13+),"['CXCL13', 'B2M', 'SRGN', 'RGS1', 'CD3D', 'CD2', 'S100A4', 'TRBC2', 'TMSB4X', 'BTG1', 'KLRB1', 'CD7', 'HLA-A', 'SH3BGRL3', 'RBPJ', 'CD3E', 'HLA-B', 'TNFRSF18', 'CD52', 'ALOX5AP', 'TSC22D3', 'IL32', 'DUSP4', 'HLA-C', 'NR3C1', 'ACTB', 'PTPRC', 'SLA', 'AC092580.4', 'CXCR4', 'PFN1', 'GMFG', 'SPOCK2', 'CTLA4', 'PRDM1', 'LAPTM5', 'ARHGDIB', 'EVL', 'RPS27', 'TRAC', 'CD3G', 'FKBP5', 'TXNIP', 'TNFRSF4', 'FYB1', 'CORO1A', 'ITM2A', 'ID2', 'SAMSN1', 'CLEC2D', 'HCST', 'TMA7', 'CYTIP', 'IFITM2', 'TIGIT', 'RORA', 'LSP1', 'RPLP1', 'ZFP36L2', 'MALAT1', 'NFKBIA', 'COTL1', 'ACAP1', 'TMSB10', 'MYL6', 'IL2RG', 'EIF1', 'CD96', 'GPR171', 'BATF', 'LCK', 'TNFAIP3', 'DDX5', 'ARPC2', 'CKLF', 'RAC2', 'ATP5E', 'ETS1', 'FYN', 'SARAF', 'MAF', 'SRP14', 'RPS29', 'RPS15A', 'CD247', 'MT2A', 'CD6', 'IL7R', 'PSMB9', 'PTPN7', 'BIRC3', 'HLA-E', 'H3F3B', 'CFL1', 'GZMB', 'GZMA', 'GAPDH', 'FXYD5', 'OST4', 'CCL4', 'S100A11', 'SERF2', 'FTH1', 'YWHAQ', 'PKM', 'RNF19A', 'TMEM173', 'ISCU', 'TPI1', 'SOD1', 'DNPH1', 'NAP1L4', 'TGIF1', 'CORO1B', 'SEM1', 'AC018816.4', 'PAG1', 'AC133644.2', 'TSPO', 'C9orf16', 'ELOB', 'SNX9', 'PDCD1', 'SMCO4', 'CD4', 'UBL5', 'UQCR11', 'METTL8', 'TYMP', 'KIAA0319L', 'ARID5B', 'MTHFD2', 'OAZ1', 'SEC61G', 'PARK7', 'SKP1', 'PGAM1', 'EDF1', 'IL6ST', 'PRDX1', 'CHN1', 'ZBED2', 'CFLAR', 'CTSB', 'GNG5', 'ANAPC16', 'TMEM167A', 'BTLA', 'SMARCA2', 'CCDC167', 'C4orf48', 'CTSD', 'CCL5', 'ANKRD28', 'IFNG', 'CD99', 'BST2', 'HMGB1', 'LY6E', 'CLIC1', 'RHOA', 'HAVCR2', 'APOBEC3G', 'MYL12B', 'FABP5', 'FKBP1A', 'ENTPD1', 'CD63', 'PSMA7', 'HLA-DPA1', 'UBB', 'RAB27A', 'ZEB2']"
cTNI08 (CD4+ Treg),"['IL32', 'S100A4', 'B2M', 'CD3D', 'LTB', 'TRBC2', 'CD2', 'RGS1', 'BTG1', 'HLA-A', 'BATF', 'MALAT1', 'CD7', 'TNFRSF4', 'CD3E', 'TNFRSF18', 'SRGN', 'SPOCK2', 'HLA-B', 'ARHGDIB', 'TRAC', 'TSC22D3', 'TIGIT', 'CD27', 'PTPRC', 'CORO1A', 'CTLA4', 'CD52', 'GMFG', 'HLA-C', 'BIRC3', 'LCK', 'DUSP4', 'RAC2', 'ACTB', 'CYTOR', 'TMSB4X', 'IL2RG', 'PFN1', 'DDX5', 'STK17B', 'CARD16', 'CD3G', 'HLA-E', 'EIF1', 'ICOS', 'FOXP3', 'UCP2', 'ARPC1B', 'TNFRSF1B', 'IL2RA', 'FYB1', 'IL7R', 'H3F3B', 'ACAP1', 'SLA', 'PRDM1', 'CYTIP', 'LAT', 'RPS27', 'AC133644.2', 'TNFAIP3', 'DUSP1', 'ARL6IP5', 'RORA', 'CTSC', 'LAPTM5', 'EVL', 'FXYD5', 'CD247', 'LSP1', 'GBP2', 'SARAF', 'MAF', 'IL2RB', 'SH3BGRL3', 'ATP5E', 'SH2D2A', 'CST7', 'AC068491.1', 'PTPN7', 'RP11-347P5.1', 'FYN', 'CORO1B', 'CREM', 'CXCR4', 'MYL6', 'PBXIP1', 'SAMSN1', 'JUNB', 'LIMD2', 'PIM2', 'IKZF1', 'CKLF', 'HCST', 'ARID5B', 'CD37', 'SIT1', 'NFKBIA', 'SAT1', 'TMSB10', 'DNPH1', 'PMAIP1', 'TBC1D4', 'TYMP', 'FTH1', 'RTKN2', 'UGP2', 'RPS27L', 'S100A6', 'NEAT1', 'LAIR2', 'VMP1', 'GLRX', 'CD4', 'AC017002.1', 'SOD1', 'IL1R2', 'GADD45A', 'PHLDA1', 'OAZ1', 'SLAMF1', 'NAMPT', 'CD28', 'ENO1', 'SOCS3', 'MAGEH1', 'COX17', 'YWHAB', 'ICA1', 'PRDX1', 'CD79B', 'PKM', 'UBC', 'H3F3A', 'RAP1A', 'RHOG', 'C4orf48', 'ATOX1', 'GPR183', 'BTG3', 'SMAP2', 'PRDX2', 'RNF213', 'PMVK', 'CD74', 'HINT1', 'SUB1', 'ISCU', 'COX5B', 'SUMO2', 'TNFRSF9', 'EMP3', 'CALM3', 'CLIC1', 'ACP5', 'PARK7', 'FKBP1A', 'CYBA', 'ENTPD1', 'ISG15', 'NOP10', 'DYNLL1', 'LGALS1', 'CCND2', 'AC002331.1', 'HERPUD1']"
cTNI09 (CD4+ Treg prolif),"['ACTB', 'S100A4', 'PFN1', 'TUBB', 'CORO1A', 'STMN1', 'CD3D', 'CD2', 'TUBA1B', 'HMGB2', 'ARHGDIB', 'H2AFZ', 'PTMA', 'TRBC2', 'HMGB1', 'IL32', 'RAC2', 'HMGN2', 'BATF', 'DUT', 'PCLAF', 'GMFG', 'CD3E', 'COTL1', 'ARPC2', 'GAPDH', 'VIM', 'RAN', 'CFL1', 'SUB1', 'TMSB4X', 'TRAC', 'SPOCK2', 'ENO1', 'RANBP1', 'ARPC1B', 'MYL6', 'CALM3', 'CD3G', 'LCK', 'H2AFV', 'PKM', 'SUMO2', 'ACTG1', 'HNRNPA2B1', 'TNFRSF18', 'ANP32B', 'CD7', 'ANP32E', 'TYMS', 'PGAM1', 'CYTOR', 'PCNA', 'HMGN1', 'LCP1', 'PTTG1', 'CCDC167', 'RPA3', 'PPIA', 'SNRPG', 'B2M', 'LDHB', 'MT2A', 'PARK7', 'RPSA', 'DEK', 'CALM1', 'PTPRC', 'CKLF', 'SNRPB', 'DUSP4', 'PSMB9', 'SH3BGRL3', 'LAT', 'NAP1L1', 'SMC4', 'LSP1', 'NUDT1', 'RGS1', 'PTPN7', 'SRGN', 'ATP5L', 'CD52', 'SRSF2', 'LDHA', 'IL2RG', 'HNRNPC', 'IFI16', 'NUSAP1', 'CHCHD2', 'CTLA4', 'TMA7', 'PPP1CA', 'ACTR3', 'MKI67', 'SEPT6', 'SRSF3', 'YWHAQ', 'TPM3', 'FYB1', 'YBX1', 'SLC25A5', 'CKS1B', 'TMSB10', 'TOP2A', 'HN1', 'SNRPD1', 'TXN', 'TK1', 'TPI1', 'SMC2', 'ZWINT', 'TPM4', 'H3F3A', 'COX8A', 'LSM5', 'MCM7', 'CKS2', 'PRDX1', 'TMPO', 'TUBB4B', 'HINT1', 'RRM2', 'TMEM106C', 'CENPM', 'BIRC5', 'H2AFY', 'UBE2C', 'HIST1H4C', 'ATP5G3', 'DNAJC9', 'PMVK', 'PRDX2', 'UBE2T', 'COX5A', 'CDK1', 'SLC25A3', 'MAD2L1', 'SNRPE', 'YWHAH', 'CBX3', 'TUBA1C', 'MRPL51', 'SERBP1', 'CARHSP1', 'DTYMK', 'CENPW', 'NME1', 'SNRPF', 'HNRNPAB', 'RBX1', 'NASP', 'CACYBP', 'PSMA7', 'FABP5', 'POMP', 'PSMA4', 'NUCKS1', 'SIVA1', 'ARPC5', 'LSM3']"
cTNI10 (CD8+ IL7R+),"['CCL5', 'CD3D', 'CD52', 'CD8A', 'TMSB4X', 'CD2', 'B2M', 'CD3E', 'IL32', 'CD7', 'HCST', 'BTG1', 'TRBC2', 'CD8B', 'CXCR4', 'NKG7', 'CD69', 'ZFP36L2', 'S100A4', 'RPLP1', 'RPS27', 'ID2', 'AC092580.4', 'KLRD1', 'EVL', 'KLRB1', 'MALAT1', 'RPLP2', 'SH3BGRL3', 'CD3G', 'HLA-B', 'CORO1A', 'RPS15A', 'ARHGDIB', 'CCL4', 'RPS19', 'RPS27A', 'GZMA', 'RPS29', 'RPS12', 'RGS1', 'HLA-C', 'EEF1A1', 'RPL34', 'TSC22D3', 'IL7R', 'RPS25', 'HOPX', 'TRAC', 'RPL28', 'RPL21', 'RPL32', 'RPL13', 'FYB1', 'ALOX5AP', 'PTPRC', 'RPL10', 'CD48', 'RARRES3', 'GPR171', 'RPS3', 'ACAP1', 'HLA-A', 'RPL23A', 'RPS3A', 'GZMM', 'CYTIP', 'COTL1', 'PFN1', 'ACTB', 'EEF1D', 'TRGC2', 'LCK', 'MYL12A', 'SRGN', 'CKLF', 'RAC2', 'RPL30', 'RPL9', 'TPT1', 'SARAF', 'UBA52', 'RPL27', 'RPS20', 'RPL13A', 'RPL3', 'RPL27A', 'FAU', 'LAPTM5', 'RPS6', 'TXNIP', 'RPL11', 'ANXA1', 'HLA-E', 'RPL19', 'VIM', 'CD96', 'RPSA', 'RPL4', 'XCL2', 'RPS18', 'MT-ND2', 'RPL39', 'FKBP11', 'XCL1', 'MT-CO1', 'ITM2C', 'PTGER4', 'RPL35', 'ITGA1', 'CD160', 'RPL38', 'AMICA1', 'IGHA1', 'RPL31', 'ZFP36', 'RPS2', 'PTGER2', 'RPL14', 'GRAP2', 'RPL12', 'RPS16', 'MT-ND4', 'MT-CO3', 'ITM2B', 'MT-CYB', 'RPS4X', 'RP11-640M9.1', 'RPS14', 'RPS8', 'FTL', 'MT-ND1', 'S100A10', 'RPL10A', 'RPLP0', 'FOS', 'RPL5', 'RPS13', 'RPL7', 'EEF1B2', 'RPL8', 'RPS23', 'RPL18A', 'RPS5', 'RPL37', 'RPL35A', 'RPL26', 'RPL22', 'RPL41', 'PABPC1', 'RPL29', 'RPS10', 'RPS9', 'GLTSCR2', 'RPS28', 'RPS15', 'RPL36', 'RPL37A', 'RPS11', 'RPL6', 'RPS7', 'RPL18', 'RPL7A', 'RPS17', 'RPL36A', 'TOMM7', 'RPL15', 'PFDN5']"
cTNI11 (CD8+GZMK+),"['CCL5', 'GZMK', 'NKG7', 'CCL4', 'B2M', 'CXCR4', 'RPS27', 'BTG1', 'CST7', 'CD3D', 'GZMA', 'MALAT1', 'HCST', 'HLA-B', 'TRBC2', 'HLA-A', 'RPS15A', 'TMSB4X', 'CD2', 'CD52', 'RPS29', 'DUSP2', 'IL32', 'CD69', 'CD3E', 'RPL28', 'HLA-C', 'RPL23A', 'PTPRC', 'RPS25', 'SRGN', 'RARRES3', 'CD8A', 'EVL', 'CORO1A', 'RPLP2', 'TSC22D3', 'GZMH', 'HLA-E', 'FAU', 'ZFP36L2', 'RPL27A', 'RPS27A', 'RPL13', 'ARHGDIB', 'RPS3', 'CD8B', 'GZMM', 'RPL30', 'RPL10', 'RPS12', 'CLEC2B', 'GIMAP4', 'CD3G', 'EIF1', 'RPL13A', 'RGS1', 'RPL41', 'GIMAP7', 'CD48', 'PPP2R5C', 'LCK', 'H3F3B', 'EEF1D', 'SH3BGRL3', 'ACAP1', 'RPS14', 'CYTIP', 'CD7', 'GMFG', 'APOBEC3G', 'FYB1', 'TMA7', 'DDX5', 'RAC2', 'RPL21', 'RPL34', 'TOMM7', 'RPL26', 'FYN', 'RPL27', 'RPL38', 'TRAC', 'PSMB9', 'RPL35A', 'PFN1', 'RPLP1', 'STK17A', 'TXNIP', 'COTL1', 'STK4', 'CD27', 'CD37', 'SARAF', 'ANXA1', 'GPR171', 'RPL14', 'TRAT1', 'RPS19', 'RPL3', 'CMC1', 'LYAR', 'KLRG1', 'ITM2C', 'HLA-DPB1', 'CD74', 'CD44', 'EOMES', 'SH2D1A', 'RPL39', 'CYBA', 'ITGB2', 'CLDND1', 'KLF2', 'IGKC', 'RPS24', 'RPL36', 'RPS15', 'RPS16', 'RPS28', 'PIK3R1', 'EMP3', 'RPS18', 'RPS7', 'RPS8', 'RPL9', 'EEF1A1', 'RPL18A', 'RPS23', 'RPS3A', 'RPL19', 'RPS2', 'RPL32', 'RPL11', 'RPS6', 'RPL10A', 'RPL5', 'RPL7A', 'RPS20', 'RPS4X', 'RPS13', 'RPS9', 'RPS5', 'RPS10', 'RPL35', 'RPS21', 'RPL7', 'RPL18', 'RPL31', 'RPL6', 'GPR183', 'RPL37', 'RPL24', 'RPL36A', 'RPL29', 'RPL37A', 'EEF1B2', 'MT-ND2', 'RACK1', 'TPT1', 'RPSA', 'RPL12', 'FOS', 'RPL8', 'RPLP0', 'JUNB', 'RPL15', 'UBA52', 'RPS11', 'GLTSCR2']"
cTNI12 (CD8+ IL7R+),"['MALAT1', 'MT-ATP6', 'CCL5', 'MT-ND3', 'PTPRC', 'CXCR4', 'TSC22D3', 'MT-RNR1', 'MT-RNR2', 'CD69', 'CD2', 'TNFAIP3', 'MT-CYB', 'ZFP36L2', 'KLRD1', 'DDX5', 'EVL', 'MT-ND5', 'BTG1', 'RGS1', 'HLA-B', 'HLA-A', 'JUND', 'PPP2R5C', 'GZMA', 'KLF6', 'MT-ND4', 'CCL4', 'ETS1', 'GPR171', 'MT-CO1', 'CTD-3252C9.4', 'MT-ND1', 'RUNX3', 'HLA-E', 'CD8A', 'CELF2', 'MT-CO2', 'ACAP1', 'MT-CO3', 'CD3D', 'CD3G', 'NEAT1', 'IKZF3', 'CLEC2D', 'NKG7', 'FYN', 'DDX17', 'SRGN', 'CD7', 'FYB1', 'STK4', 'MCL1', 'PTPN22', 'IKZF1', 'RNF213', 'SYTL3', 'MBNL1', 'PRF1', 'SRSF7', 'KIAA1551', 'GZMB', 'ITGA1', 'CD3E', 'TRBC2', 'N4BP2L2', 'RORA', 'XIST', 'DDX3X', 'CD96', 'RSRP1', 'IL7R', 'ANKRD28', 'MIAT', 'LCP1', 'ZEB2', 'SLA', 'DUSP2', 'FKBP5', 'AKNA', 'DUSP4', 'SPOCK2', 'CBLB', 'DOCK8', 'CTSW', 'PIK3IP1', 'WIPF1', 'MT-ND2', 'MT-ND4L', 'FOSB', 'MT-ND6', 'FUS', 'MACF1', 'IGKC', 'CCNL1', 'IQGAP1', 'VMP1', 'SYNE2', 'ARID1B', 'MT-ATP8', 'HNRNPU', 'IVNS1ABP', 'HNRNPH1', 'RBM39', 'AKAP13', 'JUN', 'RNF19A', 'NKTR', 'LUC7L3', 'PAG1', 'IGHA1', 'PCSK7', 'ADGRE5', 'LENG8', 'RBPJ', 'PNISR', 'HSP90AA1', 'MGEA5', 'AHNAK', 'OGT', 'PDE3B', 'GLS', 'SMCHD1', 'SMG1', 'SON', 'ATM', 'PARP8', 'DYNC1H1', 'SFPQ', 'TBL1XR1', 'WNK1', 'ATF7IP', 'FOS', 'NFKBIZ', 'LNPEP', 'VPS13C', 'NR4A2', 'BCLAF1']"
cTNI13 (CD8+ T IL17+),"['KLRB1', 'AC092580.4', 'CD3D', 'S100A4', 'CD69', 'CD52', 'GZMA', 'RGS1', 'BTG1', 'ID2', 'EVL', 'IL32', 'CD3G', 'TRBC2', 'CD2', 'CXCR4', 'CCL5', 'CD3E', 'RORA', 'CCL4', 'DUSP1', 'NFKBIA', 'HLA-B', 'HCST', 'TNFAIP3', 'LTB', 'CD7', 'SPOCK2', 'CD8A', 'CORO1A', 'TSC22D3', 'GPR171', 'B2M', 'NCR3', 'SRGN', 'PTPRC', 'ALOX5AP', 'LCK', 'PRDM1', 'HLA-C', 'TMIGD2', 'AMICA1', 'CYTIP', 'SLA', 'RPLP1', 'TXNIP', 'ACAP1', 'ARHGDIB', 'TRAC', 'ZFP36', 'LAPTM5', 'TMSB4X', 'HLA-E', 'CALM1', 'CTD-3252C9.4', 'PPP2R5C', 'SH3BGRL3', 'HLA-A', 'ETS1', 'CD96', 'RAC2', 'ANKRD28', 'CTSW', 'LSP1', 'OSTF1', 'DDX5', 'GMFG', 'CLEC2B', 'CD247', 'CKLF', 'CXCR6', 'FYN', 'RAP1B', 'EIF1', 'FNBP1', 'STK17B', 'CLEC2D', 'KLF6', 'SEPT7', 'MALAT1', 'RBPJ', 'IKZF3', 'CTLA4', 'ZFP36L2', 'NKG7', 'CD48', 'IL2RG', 'PTPN22', 'TRGC2', 'STK17A', 'ODF2L', 'MYL12A', 'RUNX3', 'JUND', 'CELF2', 'RNF19A', 'ACTB', 'GPR65', 'IL7R', 'CST7', 'FKBP11', 'CCL20', 'S100A6', 'MT-ATP6', 'ZFP36L1', 'MT-CYB', 'PDE4D', 'MT-ND3', 'MT-RNR1', 'MT-CO3', 'YWHAQ', 'MT-ND1', 'NMRK1', 'MGAT4A', 'SRGAP3', 'PRR5', 'GNAS', 'MT-RNR2', 'IL17A', 'ZNRF1', 'TMEM167A', 'LST1', 'MT-ND4', 'BTG2', 'ERN1', 'IL23R', 'CDV3', 'MT-CO1', 'ADAM12', 'ZEB2', 'MAF', 'RP11-138A9.1', 'CTSH', 'CYCS', 'PAK2', 'MT2A', 'NBL1', 'MT-ND5', 'MCL1', 'TPM3', 'CCNH', 'MT-CO2', 'CITED2', 'PTMS', 'JUN', 'TNFSF13B', 'PDCD4', 'FOS', 'IGKC', 'PHACTR2', 'IGHA1', 'SLAMF1', 'JAK1', 'AQP3', 'ZBTB16', 'HPGD', 'RP11-138A9.2', 'GPR82', 'EEF1A1', 'IKZF2', 'RBL2', 'IL26', 'CCR6', 'PEBP1', 'PERP', 'PBXIP1', 'TLE1', 'AAK1', 'HELZ', 'TNFRSF25']"
cTNI14 (CD8+ CXCL13+),"['CCL5', 'CD3D', 'GZMB', 'GZMA', 'B2M', 'CD2', 'NKG7', 'CD52', 'CCL4', 'RGS1', 'HCST', 'AC092580.4', 'CD7', 'TRBC2', 'CXCL13', 'SH3BGRL3', 'HLA-A', 'TMSB4X', 'IL32', 'CD8A', 'HLA-B', 'CD3E', 'GZMH', 'HLA-C', 'ID2', 'S100A4', 'BTG1', 'KLRD1', 'EVL', 'ALOX5AP', 'CD3G', 'CXCR4', 'CORO1A', 'SRGN', 'COTL1', 'RBPJ', 'CD69', 'RPS27', 'ACTB', 'TRAC', 'PTPRC', 'TSC22D3', 'GNLY', 'ZFP36L2', 'LSP1', 'PRF1', 'ARHGDIB', 'CLEC2B', 'CD8B', 'MALAT1', 'PFN1', 'CST7', 'RARRES3', 'IFNG', 'ACAP1', 'CLEC2D', 'CTSW', 'ATP5E', 'LCK', 'PSMB9', 'CYTOR', 'HLA-E', 'KLRB1', 'APOBEC3G', 'GPR171', 'RAC2', 'ITM2A', 'TMA7', 'LAG3', 'HAVCR2', 'FYB1', 'CKLF', 'ARPC2', 'SLA', 'CD96', 'CYTIP', 'TIGIT', 'RPS29', 'MYL12A', 'CFL1', 'GMFG', 'HLA-DRB1', 'HLA-DPB1', 'AC002331.1', 'DUSP4', 'EIF1', 'RPS26', 'HLA-DPA1', 'RPS19', 'IL2RG', 'ETS1', 'MYL6', 'CXCR6', 'H3F3B', 'SAMSN1', 'DDX5', 'LAPTM5', 'CD74', 'CCL3', 'PSME1', 'HLA-DRA', 'MT2A', 'CD63', 'HLA-DQA1', 'FABP5', 'RP11-291B21.2', 'GAPDH', 'HLA-DQB1', 'VCAM1', 'CLIC1', 'S100A6', 'ANKRD28', 'UBL5', 'SERF2', 'CRTAM', 'PTMS', 'HERPUD1', 'BLOC1S1', 'IFI27L2', 'ANXA5', 'RABAC1', 'RAB27A', 'HLA-DRB5', 'ITGAE', 'ZNF683', 'SUB1', 'FKBP1A', 'TMSB10', 'APOBEC3C', 'CTSD', 'MIR155HG', 'CYBA', 'HMGB1', 'PARK7', 'C12orf75', 'PAG1', 'CHST12', 'SRP14', 'ACP5', 'ATP5L', 'RPS24', 'OST4', 'NDFIP2', 'CTLA4', 'TSPO', 'UQCR11']"
cTNI15 (CD8+ CXCL13+ HSP+),"['CCL5', 'HSPA1A', 'DNAJB1', 'GZMB', 'GZMA', 'HSPA1B', 'CD3D', 'CD2', 'NKG7', 'B2M', 'CD7', 'CXCL13', 'HLA-B', 'HSP90AA1', 'HLA-A', 'CD52', 'RGS1', 'ID2', 'TRBC2', 'CCL4', 'HCST', 'CD3E', 'HLA-C', 'SH3BGRL3', 'AC092580.4', 'SRGN', 'UBC', 'TMSB4X', 'IFNG', 'EVL', 'GZMH', 'IL32', 'PRF1', 'HSPA8', 'ALOX5AP', 'BTG1', 'S100A4', 'CD8A', 'ITM2A', 'JUN', 'RBPJ', 'LAG3', 'HLA-E', 'DUSP2', 'CD3G', 'ARHGDIB', 'CORO1A', 'ACTB', 'TRAC', 'CST7', 'RGS2', 'TIGIT', 'HAVCR2', 'GNLY', 'DUSP4', 'SAMSN1', 'CLEC2B', 'CXCR4', 'COTL1', 'LSP1', 'ACAP1', 'CLEC2D', 'CD69', 'LCK', 'LY6E', 'APOBEC3G', 'PTPRC', 'H3F3B', 'IL2RG', 'KLRD1', 'UBB', 'CTSW', 'SLA', 'RAC2', 'DUSP1', 'PFN1', 'TSC22D3', 'MYL12A', 'MALAT1', 'PDCD1', 'CYTOR', 'RARRES3', 'CD53', 'CD27', 'PIK3IP1', 'LAPTM5', 'CD96', 'ARPC2', 'CYTIP', 'HLA-DRB1', 'CD8B', 'GPR171', 'CD99', 'SIRPG', 'PSMB9', 'CKLF', 'CCL3', 'IFITM2', 'HSPE1', 'DNAJA1', 'HSPB1', 'HLA-DPA1', 'GAPDH', 'CD74', 'HLA-DRA', 'HSPH1', 'HLA-DPB1', 'CTSD', 'HSP90AB1', 'MT2A', 'CACYBP', 'FABP5', 'CD63', 'RHOB', 'ANXA1', 'HLA-DQB1', 'PTMS', 'AC002331.1', 'HLA-DQA1', 'SOD1', 'CXCR6', 'DYNLL1', 'FKBP1A', 'PPP1R15A', 'RPS4Y1', 'CARD16', 'TMSB10', 'EIF4A2', 'HSPD1', 'APOBEC3C', 'S100A11', 'CLIC1', 'PHLDA1', 'PGK1', 'RHOA', 'TNFRSF18', 'DDIT4', 'HSPA6', 'DOK2', 'PPP1R2', 'ENTPD1', 'ITGB1', 'ACP5', 'BST2', 'UCP2', 'KLRC2', 'TMEM173']"
cTNI16 (CD8+ CXCL13+ prolif),"['STMN1', 'GZMB', 'CCL5', 'HMGB2', 'GZMA', 'NKG7', 'CD3D', 'HMGN2', 'CD2', 'HMGB1', 'H2AFZ', 'CORO1A', 'TRBC2', 'ACTB', 'TUBA1B', 'CCL4', 'CD8A', 'TUBB', 'AC092580.4', 'CD7', 'PSMB9', 'COTL1', 'CD3E', 'CXCL13', 'HLA-B', 'PFN1', 'PTMA', 'B2M', 'RAC2', 'SH3BGRL3', 'CD3G', 'PCLAF', 'VIM', 'RGS1', 'HLA-A', 'HCST', 'CD52', 'CKLF', 'ITM2A', 'ID2', 'H2AFV', 'TYMS', 'ARHGDIB', 'CYTOR', 'CFL1', 'HLA-C', 'DUT', 'IFI16', 'EVL', 'ARPC2', 'TMSB4X', 'CLEC2D', 'S100A4', 'TRAC', 'RBPJ', 'LSP1', 'CLEC2B', 'ALOX5AP', 'MT2A', 'DEK', 'GZMH', 'LCK', 'IFNG', 'RAN', 'PRF1', 'APOBEC3G', 'IL32', 'SMC4', 'CALM3', 'SNRPB', 'KLRD1', 'CD96', 'LAG3', 'CD8B', 'RANBP1', 'HNRNPA2B1', 'GAPDH', 'PCNA', 'CXCR4', 'LCP1', 'SEPT7', 'HMGN1', 'NUSAP1', 'PTPRC', 'DUSP4', 'PARK7', 'SUMO2', 'SRGN', 'SRSF3', 'HLA-DRB1', 'ANP32B', 'GMFG', 'SRSF2', 'TIGIT', 'BUB3', 'RAB27A', 'PGAM1', 'CTSW', 'RPA3', 'IL2RG', 'HLA-DRA', 'FABP5', 'CKS1B', 'HLA-DPA1', 'CD74', 'MKI67', 'TOP2A', 'HIST1H4C', 'HLA-DPB1', 'UBE2C', 'ANXA5', 'TPI1', 'NUCKS1', 'COX8A', 'NUDT1', 'CKS2', 'PTTG1', 'C12orf75', 'SMC2', 'MAD2L1', 'TMPO', 'CARHSP1', 'SIVA1', 'ZWINT', 'UBE2S', 'LDHA', 'PPIA', 'CDK1', 'SNRPD1', 'TUBB4B', 'SLC25A5', 'H2AFX', 'SNRPG', 'HSP90AA1', 'UBE2T', 'IDH2', 'BIRC5', 'CALM2', 'CCDC167', 'MZT2B', 'MCM7', 'TMEM106C', 'ANAPC11', 'NASP', 'H2AFY', 'HN1', 'CENPF', 'RHOA', 'CHCHD2', 'RRM2', 'HLA-DQA1', 'BLOC1S1', 'PKM', 'DNAJC9', 'HNRNPA3', 'SKA2', 'LSM5', 'YBX1', 'ANP32E', 'TK1', 'CDKN3', 'CENPM', 'CENPW', 'DDX39A', 'ASPM', 'LSM3', 'AURKB', 'DTYMK', 'KPNA2', 'LSM4', 'ASF1B', 'KIF22', 'SLBP', 'HNRNPAB', 'GNG5', 'COX5A']"
